Sample Type,Location,Temperature,Expected Pressure,Expected fO2,fO2,H2O,Fo cotectic,An cotectic,Fo 1050,An 1050,Expected Fo,Expected An,Expexted H20,Run Type,Sample Name,Folder,File Name,Notes,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.5,0.821383189,0.773458281,0.71182411,0.645734642,0.848984608,0.913617461,6,PT Run,79_35G_11,Medicine lake low water,79_35G_11,3 phase cotectics!!,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.5,0.801544,0.66888947,NaN,NaN,0.794000565,0.883004834,6,PT Run,79_35G_12,Medicine lake low water,79_35G_12,3 phase cotectics!!,Olivine not saturated anywhere above or below 1050 exept for a short period ~ high 1100's
MG,Medicine Lake ,1050,200,NNO ,NNO,0.5,0.791767373,0.689407885,NaN,NaN,0.775821282,0.857748007,6,PT Run,82_62_3,Medicine lake low water,82_62_3,3 phase cotectics!!,Olivine not saturated anywhere above or below 1050 exept for a short period ~ high 1100's
MG,Medicine Lake ,1050,200,NNO ,NNO,0.5,NaN,NaN,NaN,NaN,0.768645853,0.848611327,6,PT Run,82_62_4,Medicine lake low water,82_62_4,3 phase cotectics!!,No olivine! (except at one temerature and no CPX at that point)
MG,Medicine Lake ,1050,200,NNO ,NNO,0.5,NaN,NaN,NaN,NaN,0.78179312,0.86540374,6,PT Run,82_66_3,Medicine lake low water,82_66_3,3 phase cotectics!!,No olivine!
MG,Medicine Lake ,1050,200,NNO ,NNO,0.5,NaN,NaN,NaN,NaN,0.782626084,0.894963459,6,PT Run,82_66_5,Medicine lake low water,82_66_5,3 phase cotectics!!,No olivine!
MG,Medicine Lake ,1050,200,NNO ,NNO,0.5,NaN,NaN,NaN,NaN,0.768322473,0.822230381,6,PT Run,82_88_7,Medicine lake low water,82_88_7,3 phase cotectics!!,No olivine!
MG,Medicine Lake ,1050,200,NNO ,NNO,0.8,0.823691635,0.815571552,0.747006737,0.715806726,0.847448442,0.921928176,6,PT Run,79_35G_6,Medicine lake low water,79_35G_6,3 phase cotectics!!,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.8,0.815197119,0.795028969,0.725794728,0.699268718,0.847448442,0.921928176,6,PT Run,79_35G_4,Medicine lake low water,79_35G_4,3 phase cotectics!!,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.8,0.820230061,0.795134364,0.730146715,0.684659375,0.848984608,0.913617461,6,PT Run,79_35G_11,Medicine lake low water,79_35G_11,3 phase cotectics!!,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.8,0.787613954,0.679070506,NaN,NaN,0.794000565,0.883004834,6,PT Run,79_35G_12,Medicine lake low water,79_35G_12,3 phase cotectics!!,No olivine at 1050 or near it
MG,Medicine Lake ,1050,200,NNO ,NNO,0.8,0.78976475,0.713728,NaN,NaN,0.775821282,0.857748007,6,PT Run,82_62_3,Medicine lake low water,82_62_3,3 phase cotectics!!,No olivine at 1050 or near it
MG,Medicine Lake ,1050,200,NNO ,NNO,0.8,0.777827019,0.687556242,NaN,NaN,0.768645853,0.848611327,6,PT Run,82_62_4,Medicine lake low water,82_62_4,3 phase cotectics!!,No olivine at 1050 or near it
MG,Medicine Lake ,1050,200,NNO ,NNO,0.8,0.77939747,0.744755908,NaN,NaN,0.78179312,0.86540374,6,PT Run,82_66_3,Medicine lake low water,82_66_3,3 phase cotectics!!,No olivine at 1050 or near it
